Variable,Unit,Value
template type,,
lab location,,
containment,,
operator PPE,,
computer model,,
computer OS,,
reactor model,,
software version,,
reaction ID,,
reaction designer ID,,
reaction opeartor ID,,
reaction type,,
relative humidity,%,
environment temperature,degree C,
environment pressure,barg,
pump primed?,Y/N,
pump priming reagent ID,,
pump priming reagent container ID,,
reactor rinsed?,Y/N,
prime start date,DD-MM-YYYY,
prime start time,HH:MM:SS,
reactor priming reagent ID,,
reactor priming reagent container ID,,
reactor priming collection glassware ID,,
reactor priming duration,second,
container ID for reagent A,,
stock reagent ID for reagent A,,
reagent A flow rate,ml/min,
container ID for reagent B,,
stock reagent ID for reagent B,,
reagent B flow rate,ml/min,
air flow rate,L/min,
reaction duration,second,
product collection glassware ID,,
reaction start date,DD-MM-YYYY,
reaction start time,HH:MM:SS,
sampling start time into reaction,second,
sampling end time into reaction,second,
observation in product collection glassware,,
observation in sample tube,,
sample volume,ml,
sample settling position,,
rinse start date,DD-MM-YYYY,
rinse start time,HH:MM:SS,
rinse reagent ID for pump A,,
rinse reagent container ID for pump A,,
rinse reagent ID for pump B,,
rinse reagent container ID for pump B,,
rinse collection glassware ID,,
rinse duration,second,
rinse end date,DD-MM-YYYY,
rinse end time,HH:MM:SS,